기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2015,구로구,221 ,196 ,7 ,18 ,48 ,-,1293 ,233909 ,52513 ,181396 ,10368131 ,9 ,1 ,8 ,-,7 
2015,금천구,131 ,113 ,4 ,14 ,38 ,-,515 ,542211 ,126732 ,415479 ,11871094 ,1 ,-,1 ,-,1 
2015,영등포구,243 ,208 ,16 ,19 ,120 ,5 ,2350 ,801965 ,350329 ,451636 ,17886707 ,13 ,3 ,10 ,8 ,11 
2015,동작구,185 ,163 ,6 ,16 ,-,1 ,240 ,134842 ,55490 ,79352 ,7697290 ,8 ,-,8 ,4 ,2 
2015,관악구,285 ,247 ,15 ,23 ,60 ,3 ,1506 ,721101 ,357890 ,363211 ,14163126 ,14 ,5 ,9 ,9 ,48 
2015,서초구,303 ,275 ,6 ,22 ,7 ,20 ,4929 ,1368008 ,672197 ,695811 ,31562127 ,8 ,3 ,5 ,70 ,3 
2015,강남구,504 ,467 ,10 ,27 ,60 ,5 ,3899 ,2645324 ,1329303 ,1316021 ,87944191 ,19 ,-,19 ,13 ,43 
2015,송파구,278 ,242 ,5 ,31 ,1 ,-,1050 ,563905 ,196833 ,367072 ,75634213 ,22 ,1 ,21 ,-,15 
2015,강동구,264 ,236 ,8 ,20 ,31 ,5 ,1538 ,329917 ,155728 ,174189 ,7862631 ,4 ,-,4 ,11 ,8 
2016,합계,6443 ,5715 ,160 ,568 ,719 ,80 ,34041 ,14154490 ,5975254 ,8179236 ,675275998 ,276 ,40 ,236 ,181 ,307 
2016,종로구,276 ,238 ,5 ,33 ,-,-,499 ,394813 ,120049 ,274764 ,3354937 ,12 ,2 ,10 ,-,4 
2016,중구,210 ,194 ,6 ,10 ,21 ,3 ,964 ,583593 ,167694 ,415899 ,7480060 ,7 ,3 ,4 ,11 ,3 
2016,용산구,197 ,160 ,1 ,36 ,1 ,-,740 ,643949 ,203589 ,440360 ,50377117 ,8 ,1 ,7 ,-,28 
2016,성동구,182 ,160 ,1 ,21 ,19 ,-,1772 ,546702 ,228358 ,318344 ,41774230 ,5 ,-,5 ,-,4 
2016,광진구,215 ,186 ,2 ,27 ,21 ,-,887 ,477460 ,283723 ,193737 ,32175611 ,10 ,-,10 ,-,4 
2016,동대문구,236 ,201 ,10 ,25 ,11 ,28 ,2067 ,1266913 ,462344 ,804569 ,13059361 ,15 ,3 ,12 ,44 ,19 
2016,중랑구,195 ,165 ,4 ,26 ,31 ,-,925 ,333552 ,128223 ,205329 ,32507323 ,8 ,-,8 ,-,16 
2016,성북구,194 ,156 ,4 ,34 ,28 ,7 ,777 ,411505 ,173396 ,238109 ,8795193 ,16 ,1 ,15 ,19 ,17 
2016,강북구,170 ,135 ,9 ,26 ,77 ,-,2305 ,382715 ,185355 ,197360 ,13362117 ,10 ,4 ,6 ,-,1 
2016,도봉구,222 ,201 ,5 ,16 ,16 ,8 ,710 ,360498 ,212943 ,147555 ,9041637 ,10 ,5 ,5 ,33 ,41 
2016,노원구,278 ,244 ,12 ,22 ,25 ,7 ,1045 ,350936 ,203253 ,147683 ,5759774 ,16 ,1 ,15 ,11 ,1 
2016,은평구,217 ,190 ,6 ,21 ,6 ,1 ,542 ,237240 ,114031 ,123209 ,230644 ,8 ,2 ,6 ,3 ,13 
2016,서대문구,227 ,202 ,4 ,21 ,21 ,6 ,555 ,376653 ,133364 ,243289 ,50864071 ,4 ,-,4 ,17 ,2 
2016,마포구,283 ,246 ,5 ,32 ,44 ,1 ,759 ,339916 ,124287 ,215629 ,37746805 ,9 ,-,9 ,1 ,16 
2016,양천구,229 ,214 ,5 ,10 ,13 ,-,507 ,247184 ,101203 ,145981 ,25012857 ,3 ,-,3 ,-,28 
2016,강서구,372 ,335 ,2 ,35 ,34 ,-,5668 ,851150 ,390354 ,460796 ,82199569 ,25 ,5 ,20 ,-,18 
2016,구로구,247 ,222 ,5 ,20 ,44 ,-,962 ,438208 ,183911 ,254297 ,18826314 ,5 ,2 ,3 ,-,2 
2016,금천구,173 ,152 ,11 ,10 ,35 ,-,230 ,172424 ,60426 ,111998 ,14567174 ,7 ,-,7 ,-,-
2016,영등포구,280 ,251 ,14 ,15 ,79 ,3 ,2109 ,778114 ,318781 ,459333 ,35492657 ,8 ,1 ,7 ,5 ,15 
2016,동작구,215 ,192 ,8 ,15 ,29 ,1 ,371 ,180967 ,95501 ,85466 ,40666158 ,3 ,-,3 ,3 ,6 
